object,num_frames
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_51,56
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_40,56
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_21,55
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_55,53
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_44,52
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_82,50
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_7,50
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_38,42
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\bat_gom_12,40
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_15,35
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_49,30
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_65,22
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_52,19
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_54,19
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_63,19
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_73,19
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_79,19
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_22,19
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_23,19
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_55,19
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_110,17
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_20,17
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_65,17
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_97,17
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_53,17
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_40,15
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_24,15
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_83,14
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_45,13
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_60,13
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_98,13
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_20,13
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_21,13
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_51,13
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_101,11
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_114,11
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_102,10
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_27,10
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_84,10
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_29,10
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_18,4
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_22,3
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_70,3
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\bat_gom_14,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_104,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_107,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_123,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_25,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_30,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_31,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_33,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_34,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_5,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_76,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_77,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_80,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_85,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_86,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_96,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_16,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_33,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_35,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_38,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_4,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_54,2
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\chen_gom_5,2
